period,cagr,max_drawdown
10,0.077276,-0.526748
12,0.099805,-0.485897
14,0.088007,-0.495200
16,0.116812,-0.225716
18,0.095640,-0.551961
20,0.098270,-0.455913
22,0.118864,-0.377193
24,0.103915,-0.353537
26,0.103853,-0.313318
28,0.111799,-0.387575
30,0.124725,-0.260808
32,0.101636,-0.277702
34,0.094908,-0.336898
36,0.089953,-0.351163
38,0.099689,-0.448832
40,0.095988,-0.407850
42,0.089950,-0.450093
44,0.094324,-0.308012
46,0.088711,-0.422482
48,0.092686,-0.414749
50,0.086407,-0.366335
52,0.086796,-0.328948
54,0.094162,-0.291561
56,0.086730,-0.291561
58,0.076679,-0.332787
60,0.097234,-0.324563
62,0.101845,-0.329082
64,0.094997,-0.356462
66,0.082170,-0.355152
68,0.099894,-0.293785
70,0.102138,-0.285154
72,0.115872,-0.338599
74,0.109490,-0.342509
76,0.103608,-0.332538
78,0.103447,-0.386245
80,0.122228,-0.281287
82,0.112745,-0.293560
84,0.114819,-0.299244
86,0.110935,-0.365144
88,0.107194,-0.346724
90,0.117605,-0.364521
92,0.115990,-0.405515
94,0.113241,-0.366122
96,0.116912,-0.336098
98,0.103937,-0.415433
100,0.101341,-0.411252
102,0.101518,-0.445746
104,0.098240,-0.434139
106,0.101737,-0.464269
108,0.107152,-0.476489
110,0.105458,-0.485767
112,0.106574,-0.489714
114,0.094142,-0.445093
116,0.094355,-0.457633
118,0.107402,-0.406014
120,0.105155,-0.384947
122,0.111474,-0.339636
124,0.115465,-0.417115
126,0.133340,-0.323387
128,0.132557,-0.297393
130,0.128989,-0.317638
132,0.125235,-0.312619
134,0.124243,-0.316827
136,0.118839,-0.300563
138,0.126802,-0.300563
140,0.124804,-0.294129
142,0.132102,-0.307282
144,0.133519,-0.316170
146,0.137782,-0.312876
148,0.136071,-0.297393
150,0.145127,-0.317638
152,0.128363,-0.312619
154,0.121981,-0.316827
156,0.108580,-0.300563
158,0.108648,-0.300563
160,0.114162,-0.299072
162,0.121146,-0.307282
164,0.110605,-0.321209
166,0.110628,-0.315791
168,0.116907,-0.314984
170,0.118569,-0.317638
172,0.120104,-0.312619
174,0.120116,-0.316827
176,0.117106,-0.325468
178,0.122739,-0.317992
180,0.129312,-0.325510
182,0.138720,-0.311304
184,0.136247,-0.316170
186,0.149001,-0.312876
188,0.156074,-0.297393
190,0.157481,-0.317638
192,0.157259,-0.321397
194,0.150901,-0.316827
196,0.144777,-0.300563
198,0.143655,-0.300563
200,0.151524,-0.294129
7023017,8.9631%,-37.0230%
112,0.08935862,-0.38738630,8.9359%,-38.7386%
114,0.08272669,-0.33801917,8.2727%,-33.8019%
116,0.08286636,-0.36836518,8.2866%,-36.8365%
118,0.09450347,-0.27914948,9.4503%,-27.9149%
120,0.09321108,-0.27746690,9.3211%,-27.7467%
122,0.10027458,-0.26613345,10.0275%,-26.6133%
124,0.10430961,-0.30207962,10.4310%,-30.2080%
126,0.12053264,-0.26658714,12.0533%,-26.6587%
128,0.11695785,-0.27209491,11.6958%,-27.2095%
130,0.11389283,-0.26529317,11.3893%,-26.5293%
132,0.10957519,-0.27966506,10.9575%,-27.9665%
134,0.11110895,-0.27967147,11.1109%,-27.9671%
136,0.10781370,-0.28085139,10.7814%,-28.0851%
138,0.11500538,-0.27626975,11.5005%,-27.6270%
140,0.11334408,-0.26432321,11.3344%,-26.4323%
142,0.12036052,-0.25719065,12.0361%,-25.7191%
144,0.12470037,-0.23492262,12.4700%,-23.4923%
146,0.12633591,-0.25046012,12.6336%,-25.0460%
148,0.12025352,-0.25688694,12.0254%,-25.6887%
150,0.12932352,-0.25320230,12.9324%,-25.3202%
152,0.11587737,-0.25159405,11.5877%,-25.1594%
154,0.11115595,-0.25023529,11.1156%,-25.0235%
156,0.09722158,-0.29342828,9.7222%,-29.3428%
158,0.09731064,-0.29626814,9.7311%,-29.6268%
160,0.10268886,-0.29461509,10.2689%,-29.4615%
162,0.10804252,-0.30492396,10.8043%,-30.4924%
164,0.10079671,-0.32314656,10.0797%,-32.3147%
166,0.09968243,-0.32230075,9.9682%,-32.2301%
168,0.10175864,-0.32409873,10.1759%,-32.4099%
170,0.10315437,-0.32395845,10.3154%,-32.3958%
172,0.10383350,-0.30831519,10.3834%,-30.8315%
174,0.10396632,-0.31259308,10.3966%,-31.2593%
176,0.10057763,-0.33456994,10.0578%,-33.4570%
178,0.10698667,-0.32284177,10.6987%,-32.2842%
180,0.11386698,-0.33165049,11.3867%,-33.1650%
182,0.12116540,-0.31770325,12.1165%,-31.7703%
184,0.12408117,-0.27892728,12.4081%,-27.8927%
186,0.13479642,-0.27966224,13.4796%,-27.9662%
188,0.13711153,-0.27995069,13.7112%,-27.9951%
190,0.13915992,-0.29783694,13.9160%,-29.7837%
192,0.13925389,-0.31830037,13.9254%,-31.8300%
194,0.13393781,-0.29072094,13.3938%,-29.0721%
196,0.12653442,-0.27596888,12.6534%,-27.5969%
198,0.12569615,-0.27547744,12.5696%,-27.5477%
200,0.13007376,-0.26498576,13.0074%,-26.4986%
