period,cagr,max_drawdown,cagr_pct,max_drawdown_pct
2,0.07664433,-0.15970760,7.6644%,-15.9708%
4,0.08796623,-0.16066042,8.7966%,-16.0660%
6,0.09571807,-0.17207172,9.5718%,-17.2072%
8,0.09806488,-0.17854184,9.8065%,-17.8542%
10,0.13454822,-0.14672105,13.4548%,-14.6721%
12,0.11859897,-0.10872833,11.8599%,-10.8728%
14,0.10764740,-0.14849453,10.7647%,-14.8495%
16,0.09031213,-0.15333880,9.0312%,-15.3339%
18,0.08741933,-0.18900956,8.7419%,-18.9010%
20,0.11248634,-0.18558858,11.2486%,-18.5589%
22,0.11684458,-0.17535105,11.6845%,-17.5351%
24,0.14122907,-0.15101135,14.1229%,-15.1011%
26,0.12991655,-0.14319395,12.9917%,-14.3194%
28,0.13322153,-0.14874206,13.3222%,-14.8742%
30,0.13170966,-0.15515954,13.1710%,-15.5160%
32,0.11655443,-0.16628107,11.6554%,-16.6281%
34,0.10862417,-0.18368194,10.8624%,-18.3682%
36,0.11057483,-0.19064848,11.0575%,-19.0648%
38,0.10487924,-0.19937948,10.4879%,-19.9379%
40,0.09658197,-0.21285388,9.6582%,-21.2854%
42,0.11192256,-0.20806336,11.1923%,-20.8063%
44,0.11386530,-0.28069550,11.3865%,-28.0696%
46,0.10517556,-0.29852404,10.5176%,-29.8524%
48,0.10175771,-0.29391031,10.1758%,-29.3910%
50,0.11322868,-0.26450960,11.3229%,-26.4510%
52,0.10962667,-0.32267670,10.9627%,-32.2677%
54,0.10909785,-0.32091167,10.9098%,-32.0912%
56,0.11976604,-0.32906592,11.9766%,-32.9066%
58,0.11627891,-0.26800707,11.6279%,-26.8007%
60,0.10872942,-0.26740780,10.8729%,-26.7408%
62,0.11129497,-0.27767780,11.1295%,-27.7678%
64,0.11157717,-0.27784308,11.1577%,-27.7843%
66,0.10082583,-0.28223057,10.0826%,-28.2231%
68,0.10459634,-0.28233858,10.4596%,-28.2339%
70,0.10722365,-0.27902487,10.7224%,-27.9025%
72,0.10393592,-0.30355658,10.3936%,-30.3557%
74,0.10631315,-0.30489182,10.6313%,-30.4892%
76,0.10406588,-0.32417784,10.4066%,-32.4178%
78,0.10427970,-0.32387994,10.4280%,-32.3880%
80,0.09618197,-0.32321667,9.6182%,-32.3217%
82,0.10670363,-0.31472612,10.6704%,-31.4726%
84,0.10924037,-0.31485558,10.9240%,-31.4856%
86,0.11009811,-0.31837251,11.0098%,-31.8373%
88,0.11054648,-0.31215010,11.0546%,-31.2150%
90,0.11371394,-0.32463014,11.3714%,-32.4630%
92,0.11570167,-0.32250360,11.5702%,-32.2504%
94,0.12117202,-0.32496712,12.1172%,-32.4967%
96,0.11594246,-0.32498809,11.5942%,-32.4988%
98,0.11174551,-0.31903548,11.1746%,-31.9035%
100,0.11037179,-0.32739106,11.0372%,-32.7391%
