days,sma_cagr,ema_cagr
1,7.083734,14.828343
2,3.684715,7.811770
3,7.236380,8.293116
4,7.791278,4.718165
5,5.591950,5.622395
6,6.668127,7.477429
7,6.880629,8.925608
8,7.342095,9.825320
9,8.273875,8.994148
10,8.930666,9.335114
11,8.554574,9.285756
12,8.514915,8.968683
13,10.152802,9.973104
14,9.344481,10.531267
15,9.562388,9.721396
16,10.419652,10.766619
17,9.830813,11.096943
18,9.341164,11.012007
19,9.763320,10.608460
20,10.345814,9.887669
21,11.299817,9.927145
22,11.347325,9.759212
23,11.972062,9.961441
24,12.002173,9.955596
25,12.660638,10.249761
26,12.736177,9.889024
27,12.327471,10.017964
28,11.591910,10.075002
29,11.786952,10.535168
30,11.779395,10.541095
31,12.123968,10.172273
32,11.317523,9.745497
33,10.128443,9.715706
34,10.130287,8.757765
35,9.493239,9.239360
36,9.235937,9.177178
37,9.500502,8.969376
38,10.182376,8.833443
39,9.988790,8.867351
40,10.660530,9.181317
41,11.165936,9.652072
42,10.876049,9.642203
43,11.046478,10.055128
44,10.010364,10.465538
45,10.121480,10.368444
46,10.382386,10.043887
47,10.322959,9.937196
48,10.884481,9.260545
49,10.783556,9.200861
50,10.527002,9.813295
51,9.671627,10.272459
52,9.855874,10.395011
53,9.585813,10.146084
54,9.001315,9.923585
55,9.374558,9.735868
56,8.636222,10.240784
57,8.283359,10.468287
58,8.635593,10.429775
59,9.130806,9.514444
60,8.859909,9.735133
61,9.713701,8.901966
62,9.712942,8.882791
63,9.443528,8.965420
64,8.984785,8.881640
65,9.057037,8.946046
66,9.375906,8.889335
67,9.361217,8.881919
68,9.423716,8.828408
69,9.928839,9.047809
70,9.955760,8.606102
71,9.893264,8.117362
72,9.920924,8.100472
73,10.068543,8.101744
74,9.658045,8.188319
75,10.004881,8.664731
76,9.722994,8.136578
77,9.873333,8.400768
78,9.475233,8.911018
79,9.367986,8.477114
80,9.294792,8.587201
81,9.347095,8.917311
82,9.630515,9.020594
83,9.921352,8.450765
84,10.192128,8.618029
85,10.075083,8.614279
86,9.718701,8.665128
87,8.855564,8.557094
88,8.842807,8.317184
89,8.982829,8.353189
90,9.204351,8.383390
91,8.896712,8.783056
92,9.155941,8.940033
93,8.326048,8.544217
94,8.331048,8.891562
95,8.403373,9.684569
96,8.721106,9.777649
97,8.716846,10.123350
98,9.398205,9.796032
99,9.640081,9.595905
100,9.592523,9.078210
101,10.134446,9.184723
102,9.960886,9.691338
103,9.870301,9.501952
104,11.022419,9.512388
105,10.902458,9.669106
106,10.239790,9.167632
107,10.198529,9.036103
108,9.236017,9.374970
109,9.539530,9.374565
110,9.808226,9.476002
111,9.901755,9.400336
112,9.641673,9.411468
113,9.780772,9.387131
114,10.361648,9.074976
115,10.393699,9.167895
116,10.390546,9.841502
117,10.056442,9.814837
118,9.595362,9.607613
119,9.590480,9.832913
120,9.006658,10.290295
121,9.058805,11.123832
122,9.198222,10.509567
123,9.249336,10.686043
124,9.360294,10.658570
125,9.234987,10.870250
126,9.140499,10.837555
127,9.215314,10.460327
128,9.099706,10.373128
129,9.099145,10.604981
130,9.545414,10.727778
131,9.826137,10.442264
132,9.805788,10.705299
133,9.589458,10.510575
134,10.306350,10.508890
135,10.311386,10.460295
136,11.129973,10.460176
137,11.350987,11.163383
138,11.133534,11.310183
139,11.229231,11.666978
140,11.610177,11.320620
141,12.125252,11.719165
142,11.999818,12.203718
143,11.801432,12.200196
144,12.652758,12.125917
145,12.588902,11.753783
146,12.208485,11.600717
147,12.080931,11.272148
148,12.571847,11.342520
149,12.330017,11.276006
150,12.313936,11.401373
151,12.180483,11.729211
152,12.132400,11.686578
153,12.187364,11.666405
154,11.758251,11.657707
155,12.075477,11.237608
156,12.022138,11.420275
157,11.987997,11.820432
158,12.169828,12.240453
159,12.016298,11.740229
160,12.326427,11.868915
161,12.337480,12.306767
162,12.145953,12.306767
163,12.467070,12.147022
164,12.121709,11.674274
165,12.237535,12.033659
166,12.444421,12.020215
167,12.274066,11.995750
168,12.241007,11.649349
169,12.490811,11.685828
170,12.523071,12.049956
171,12.579293,11.964416
172,12.576279,11.964416
173,12.405919,11.964416
174,12.201111,11.902281
175,12.175686,11.741020
176,12.255812,11.799180
177,11.840292,11.841015
178,11.593212,11.261729
179,11.174270,11.184499
180,11.448154,11.111891
181,10.923373,11.385912
182,10.961782,11.390694
183,10.957308,11.270791
184,10.860248,11.257407
185,10.840217,11.257407
186,10.698054,11.257407
187,9.837213,11.257206
188,9.914827,11.811891
189,11.506131,11.420880
190,11.711282,11.723732
191,11.569149,11.094191
192,11.688394,11.010490
193,11.690475,10.899289
194,11.705317,10.911937
195,11.666077,10.911937
196,12.086867,10.882172
197,12.509001,10.667819
198,12.497555,10.612080
199,12.178483,10.561295
200,12.074109,11.100396
201,11.968866,10.881962
202,11.907407,10.881962
203,11.989567,10.813753
204,11.902107,10.843071
205,12.000924,10.849755
206,12.058700,10.921961
207,11.938065,11.028882
208,12.310714,11.182179
209,12.341801,11.093321
210,12.404364,10.914715
